category,split,rank,object_id,trajectory_count,geometry_proxy,geometry_distance_to_category_center,scale_median,physical_longest_extent,physical_bbox_volume,bbox_aspect_ratio,convex_piece_count,vertex_count,rotation_angle_std,final_action_dispersion
bottle,train,1,core-bottle-714320da4aafcb4a47be2353d2b2403b,40,typical,0.22931571989447866,0.10000000149011612,0.18765630279629678,0.000612127991908818,3.2856675117660243,2,866,0.9738620519638062,0.27859675884246826
bottle,train,2,core-bottle-dc005c019fbfb32c90071898148dca0e,40,medium,0.7596959291210525,0.07999999821186066,0.13692759693942963,0.0008201985944483037,1.7692001571156868,2,671,1.2566370964050293,0.2761196494102478
bottle,train,3,core-bottle-d3eea69d9d58401c76c2a9de5c96f76,40,medium,0.758256592671305,0.10000000149011612,0.19184310285868494,0.0012042259290459992,2.421393086317533,3,1389,1.1320364475250244,0.25790849328041077
bottle,train,4,core-bottle-ba4b48d76eb79f7cf54e1b6f41fdd78a,40,unusual,1.3707022937273994,0.059999994933605194,0.10741163093017042,0.0004925330404398471,1.5862048800197057,21,1916,0.7844158411026001,0.2833363711833954
bottle,test,1,core-bottle-91235f7d65aec958ca972daa503b3095,40,medium,0.6629017163407368,0.10000000149011612,0.1667370024845749,0.0007623588476060978,3.8333340996767564,6,853,1.2566370964050293,0.26665177941322327
bottle,backups,1,core-bottle-d4a8a5243b976630e3eacec6011567b3,40,typical,0.5456651328660017,0.10000000149011612,0.18293370272592455,0.0008853935188273018,2.705727572038373,2,368,1.1542949676513672,0.2807418704032898
bottle,backups,2,core-bottle-204c2b0a5e0a0ac3efd4121045846f28,40,medium,0.742578632097558,0.10000000149011612,0.19006080283212662,0.00042830066540937913,4.181755775577558,2,391,1.1320364475250244,0.24433313310146332
bottle,backups,3,core-bottle-ffa6c49aa8f7ec19971e7f8dbfabf375,40,unusual,1.1923847881925733,0.11999998986721039,0.231134620483011,0.0008403124148000581,3.833337977096958,26,1487,0.6801747679710388,0.2818014323711395
mug,train,1,core-mug-1a97f3c83016abca21d0de04f408950f,40,typical,0.20994853603892588,0.059999994933605194,0.09580595191015302,0.0005086777773000539,1.3529415752005138,21,1383,0.7357214689254761,0.27824681997299194
mug,train,2,core-mug-b4ae56d6638d5338de671f28c83d2dcb,40,medium,0.8745349639812687,0.07999999821186066,0.12290447725287079,0.0010668924875787337,1.437500818725707,22,894,0.9903494715690613,0.2963884174823761
mug,train,3,core-mug-35ce7ede92198be2b759f7fb0032e59,40,medium,0.8604487997415762,0.059999994933605194,0.09932591161292792,0.0004969027556340018,1.5862067643885547,14,988,1.2065515518188477,0.3070676624774933
mug,train,4,core-mug-c51b79493419eccdc1584fff35347dc6,20,unusual,1.4379044277488229,0.09000000357627869,0.13959450554698705,0.001617200844078778,1.3529580064444433,34,3186,0.342347115278244,0.23670099675655365
mug,test,1,core-mug-92d6394732e6058d4bcbafcc905a9b98,20,unusual,1.1297052316201155,0.07999999821186066,0.13992287687247992,0.0009942858012244003,1.9166677625090407,18,1000,0.7695299386978149,0.27984485030174255
mug,backups,1,core-mug-159e56c18906830278d8f8c02c47cde0,40,typical,0.5849199504906867,0.06999999284744263,0.10073446970701216,0.0007709949567782441,1.2105263157894735,27,1028,0.9864488840103149,0.2735922634601593
mug,backups,2,core-mug-6dd59cc1130a426571215a0b56898e5e,40,medium,0.817858236527288,0.059999994933605194,0.09646343185463549,0.00047508376783177543,1.4373929369691552,39,2821,0.7198293209075928,0.27550962567329407
mug,backups,3,core-mug-b18bf84bcd457ffbc2868ebdda32b945,40,unusual,1.1251563263618893,0.07999999821186066,0.12162975728136302,0.001028061245987199,1.4839079304256506,44,2746,1.0172346830368042,0.2753739655017853
bowl,train,1,core-bowl-4b32d2c623b54dd4fe296ad57d60d898,20,typical,0.1923629224609543,0.07999999821186066,0.14582543674054743,0.001280833542452275,2.421068989424862,25,2271,0.7492220401763916,0.2924891412258148
bowl,train,2,core-bowl-538db91266f2829bc0f7e0e05bae6131,20,medium,0.7964489252515553,0.059999994933605194,0.11621099018715322,0.0003411723073482233,4.60000379998765,16,1794,0.680174708366394,0.19840408861637115
bowl,train,3,core-bowl-b65cbede8f483d51f7de4d28691515e1,20,medium,0.6874031787851019,0.059999994933605194,0.10307555129630865,0.0008570609819775164,1.2777776124909257,14,1520,0.7492220997810364,0.24860963225364685
bowl,train,4,core-bowl-817221e45b63cef62f74bdafe5239fba,20,unusual,1.3377877461174355,0.125,0.23657025,0.003741581351143831,3.5384647025169484,16,1973,0.7814613580703735,0.16229771077632904
bowl,test,1,core-bowl-2d2c419136447fe667964ba700cd97f5,37,unusual,1.132995344126555,0.11999998986721039,0.2353199801295996,0.003965943746793878,3.2857147644372064,22,1980,0.697589635848999,0.2720282971858978
bowl,backups,1,core-bowl-4227b58665eadcefc0dc3ed657ab97f0,35,typical,0.5206980219585317,0.07999999821186066,0.14905695666831734,0.0011519113976831315,2.8749988427247506,16,1456,0.5496641993522644,0.27652493119239807
bowl,backups,2,core-bowl-e3095ecacc36080cb398a1cfd1079875,40,medium,0.6808716660556744,0.059999994933605194,0.09441443202765286,0.0005099725901645203,1.6502408913293805,20,2569,1.0854419469833374,0.29464060068130493
bowl,backups,3,core-bowl-bec41cc7f631e00b1bf40e92cbe8569f,40,unusual,1.2034207160341017,0.10000000149011612,0.19266500287093222,0.001088300682164715,6.571425647882232,18,828,1.236222743988037,0.3122885823249817
camera,train,1,core-camera-82819e1201d2dc583a3e53900c6cbba,40,typical,0.21998986758808456,0.07999999821186066,0.13123263706672192,0.0005831805145484558,2.1904759361287893,8,797,1.0507911443710327,0.2912030816078186
